Questions,CoarseType,FineType,WhWord
नेपाली क्रिकेट टिम क्याप्टेनमा ज्ञानेन्द्र मल्ल कहिले नियुक्त भए ?,temporal,date,कहिले
फ्रान्सको लियोनमा सम्पन्न महिला विश्वकप फुटबल २०१९ प्रतियोगिताको उपाधि कसले प्राप्त गर्यो ?,location,country,कसले
विश्व शान्ति सूचांक २०१९ अनुसार नेपाल कति औ स्थानमा रहेको छ ?,numerical,rank,कति
"एक फलफूलको बोट रु दशको नोट"" कार्यक्रमको सुरुवात कुन जिल्लाको स्थानीय तहमा भएको थियो ?",location,city,कुन
माथिल्लो त्रिशुली थ्री 'ए' जलविधुत आयोजनाको विधुत राष्ट्रिय प्रसारण प्रणालीमा कहिले जोडिएको हो ?,temporal,date,कहिले
अर्थमन्त्री युवराज खतिवडाले वि.स. २०७६ जेठ १५ मा संघिय संसदको संयुक्त बैठकमा प्रस्तुत आ.व. २०७६/७७ को बजेटको राशि कति रहेको छ ?,numerical,money,कति
विश्वका ८ हजार मिटर भन्दा अग्ला १४ ओटै हिमाल आरोहण गर्ने प्रथम नेपाली को हुन् ?,person,individual,को
अमेरिकाले आफ्ना नागरिकलाई क्युवाको भ्रमणका लागि कहिले देखि प्रतिबन्ध लगाएको हो ?,temporal,date,कहिले
"नेपाल राष्ट्र बैंकले नेपालि भाषामा पनि ATM चलाउन मिल्ने गरि व्यबस्था मिलाउन कहिले निर्देशन दिएको
हो ?",temporal,date,कहिले
नेपालमा पर्यटन सुचना केन्द्रको स्थापना कहिले गरिएको हो ?,temporal,date,कहिले
प्रथम आर्थिक गणनाको नतिजा कहिले सार्वजनिक गरियो ?,temporal,date,कहिले
डुईङ विजनेश अवार्ड - २०१९ अनुसार नेपाल कति औ स्थानमा छ ?,numerical,rank,कति
सरकारले कुन दिनलाई राष्ट्रिय वृक्षारोपण दिवसका रुपमा मनाउने निर्णय गरेको हो ?,temporal,day,कुन
ब्राजिलमा आयोजित कोपा अमेरिका फुटबल - २०१९ को उपाधि कसले जित्यो ?,location,country,कसले
व्यावसायिक कफी खेति सर्वेक्षण २०७५ अन्सार कफी उत्पादनमा नेपालको पहिलो जिल्ला कुन हो ?,location,district,कुन
श्रीलंकामा आयोजित 'सार्क फिल्म फेस्टिवल २०१९ मा 'पर्फर्मर अवार्ड जित्ने नेपालि अभिनेत्री को हुन् ?,person,individual,को
प्रदेश खेलकुद विकाश परिषद गठन गर्ने पहिलो प्रदेश कुन हो ?,location,state,कुन
नेपाल र युएई बीच परिमार्जित श्रम सम्झौतामा हस्ताक्षर कहिले भएको हो ?,temporal,date,कहिले
भूगर्भशास्त्री टोनी हेगनको सम्झनामा नेपालको कुन ठाउँमा भ्युटावर सहित पार्क निर्माण गरिएको छ ?,location,city,कुन
भुपयोग ऐन - २०७६ कहिले देखि लागु भएको हो ?,temporal,date,कहिले
बेलायतका प्रधानमन्त्री बोसिन जोन्सनले संसद निलम्बनको घोषणा कहिले गर्नुभयो ?,temporal,date,कहिले
प्रदेशमा हरित प्रदेश अभियानको शुभारम्भ कहिले गरिएको हो ?,temporal,date,कहिले
विश्वका धनि सात राष्ट्रहरुको समुह जी ७ को सम्मेलन २०१९ कहाँ सम्पन्न भयो ?,location,country,कहाँ
वासुदेव मुनाल बाल प्रतिभा पुरस्कार २०७६ कसलाई प्रदान गरियो ?,person,individual,कसलाई
१३ औ दक्षिण एसियाली खेलकुद प्रतियोगिता (साग) को लोगो र मस्कट कहिले सार्वजनिक गरियो ?,temporal,date,कहिले
बंगलादेशका पुर्वाराष्टपति एवम सैनिक प्रमुख हुसेन मोहम्मद एर्साईको निधन कहिले भएको हो ?,temporal,date,कहिले
केन्द्रिय तथ्यांक विभागले सार्वजनिक गरेको 'श्रमशक्ति सर्वेक्षण - २०१९' अनुसार हाल नेपालको बेरोजगारी दर कति रहेको छ ?,numerical,percentage,कति
अमेरिकास्थित स्पेस एक्स कम्पनीले एकैसाथ २४ भूउपग्रह अन्तरिक्षमा कहिले प्रक्षेपण गरेको हो ?,temporal,date,कहिले
प्रथम राष्ट्रिय गणना -२०७५ को पारम्भिक नतिजाअनुसार सबैभन्दा बढी व्यापारिक प्रतिष्ठान कुन प्रदेशमा रहेका छन् ?,location,state,कुन
नेपाल संयुक्त रास्ट्रसंघीय लागूऔषध आयोगको सदस्यमा कुन अवधिका लागि नियुक्त भयो ?,temporal,range,कुन
"२०७६ बैशाख २० मा प्रस्तुत आर्थिक वर्ष २०७६/७७ को नीति कार्यक्रमअनुसार कति बर्षभित्र सबै स्थानीय तहमा 
 औधोगीक ग्राम संचालनमा ल्याइने योजना छ ?",numerical,count,कति
नौविसे नागढुङ्गा सुरुङमार्गको शिलान्यास प्रधानमन्त्री केपी शर्मा ओलीबाट कहिले गरियो ?,temporal,date,कहिले
विश्वको कुन राष्ट्र शताब्दीकै ठुलो खडेरीको चपेटामा परेको छ ?,location,country,कुन
विश्वकप क्रिकेट २०१९ को उपाधि विजेता राष्ट्र कुन हो ?,location,country,कुन
दक्षिण एसियाकै पहिलो खुला दिसामुक्त मुलुक नेपाललाई कहिले घोषणा गरिएको हो ?,temporal,date,कहिले
नेपाल टेलिकमले देशभरका ३२ जिल्लाका ५० शहरमा 4G सेवाको विस्तार कहिले गर्यो ?,temporal,date,कहिले
NRN का नयाँ अध्यक्षमा नियुक्त हुने व्यक्ति को हुन् ?,person,individual,को
उखुको जसलाई राष्ट्रिय पेय पर्दाथ घोषणा गर्ने सार्क राष्ट्र कुन हो ?,location,country,कुन
नेपाल फिल्म क्याम्पसको स्थापना कहिले गरियो ?,temporal,date,कहिले
नेसनल आइसीटी अवार्ड - २०१९ बाट सम्मानित निकाय कुन हो ?,organization,other,कुन
नेपालको पहिलो भू-उपग्रह 'नेपाली स्याट-१' ले काठमाण्डौ स्थित ग्राउण्ड स्टेसनसँग संवादको थालनी कहिलेदेखि गर्न थालेको हो ?,temporal,date,कहिले
नेपालमा पहिलो पल्ट स्मार्ट लाइटको प्रयोग गर्ने महानगरपालिका कुन हो ?,location,city,कुन
"बुद्ध जन्मस्थल लुम्बिनी जाऔ, शान्तिको संदेश फैलाऔ' नारासहित प्रदेश ५ सरकारले मनाउने घोषणा गरेको लुम्बिनी भ्रमण वर्ष २०७६ कहिलेदेखि सुरु गरिने भएको छ ?",temporal,date,कहिले
सरकारले लुम्बिनीमा कहिले संयुक्त राष्ट्रसंघ वुद्धजयन्ति दिवस मनाउने निर्णय गरेको हो ?,temporal,year,कहिले
सरकारले आगामी एक दशकमा कति किलोमिटर रेलमार्ग निर्माण गर्ने योजना अघि सारेको छ ?,numerical,length,कति
नेपालको सबैभन्दा कान्छो जिल्ला कुन हो ?,location,district,कुन
संयुक्त राष्ट्रसंघले कुन दिनलाइ विश्व खुसि दिवसका रुपमा मनाइन्छ ?,temporal,day,कुन
फोर्ब्सले सन् २०१९ जुनमा सार्वजनिक सर्वाधिक कमाइ गर्ने विश्वका एकसय खेलाडीको सुचिमा पहिलो स्थानमा पर्न सफल खेलाडी को हुन् ?,person,individual,को
सरकारले नया स्वास्थ नीति कहिले सार्वजनिक गर्यो ?,temporal,date,कहिले
वेस्ट पर्सानालिटि अफ द इयर अवार्ड २०७५ बाट सम्मानित हुने व्यक्तित्व को हुन् ?,person,individual,को
काठमाडौं उपत्यकामा विधुतीय बसको सुरुवात कहिले गरियो ?,temporal,date,कहिले
सातवटै प्रदेशले आ.व. २०७६/७७ का लागि आ-आफ्नो प्रदेशसभा वार्षिक बजेट कहिले पेश गर्यो ?,temporal,date,कहिले
टि testing तथा अनुसन्धान केन्द्र कहाँ निर्माण गरिने भएको छ ?,location,city,कहाँ
भारतले अमिरिकी सामानमा अतिरिक्त कर लगाउन सुरु कहिले देखि गरेको हो ?,temporal,date,कहिले
प्रधानमन्त्री रोजगार कार्यक्रममार्फत आ.व. २०७५/७६ मा रोजगारी पाउनेले औसतमा कति दिनको रोजगारी प्राप्त गरेको छन् ?,numerical,count,कति
भारतका पुर्वप्रधानमन्त्री सुष्मा स्वराजको निधन कहिले भएको हो ?,temporal,date,कहिले
जापानका नया सम्राट नारुहितोले औपचारिक रुपमा राज्यारोहण कहिले गरे ?,temporal,date,कहिले
संयुक्त राष्ट्रसंघको मापदण्डअनुसार एक प्रहरी कर्मचारी बराबर कति नागरिक हुनुपर्ने मान्यता छ ?,numerical,count,कति
सबैभन्दा बढी वन-जङ्गल युक्त भू-भाग भएको प्रदेश कुन हो ?,location,state,कुन
सबैभन्दा कम वन-जङ्गल युक्त भू-भाग भएको प्रदेश कुन हो ?,location,state,कुन
भोकमरीको सूचकांक २०१९ मा नेपाल कति औ स्थानमा रहेको छ ?,numerical,rank,कति
सिंहदरवारस्थित पुतली बौँचामा सङ्घीय संसद भवनको शिलान्यास कहिले गरियो ?,temporal,date,कहिले
तेस्रो दक्षिण एसियाली फुटबल प्रतियोगिता (साफ) यु - १८ को बिजेता राष्ट्र कुन हो ?,location,country,कुन
तेस्रो दक्षिण एसियाली फुटबल प्रतियोगिता (साफ) यु - १८ को उपबिजेता राष्ट्र कुन हो ?,location,country,कुन
सन् २०१९ मा फिफा वर्ष खेलाडीको उपाधि कसले जिते ?,person,individual,कसले
नेपालमा सबैभन्दा बढी स्थानीय तह भएको जिल्ला कुन हो ?,location,district,कुन
नेपालमा सबैभन्दा बढी नगरपालिका भएको जिल्ला कुन हो ?,location,district,कुन
एक नर्स एक विधालय' को अभियान सुरु गर्ने प्रदेश कुन हो ?,location,state,कुन
नेपालमा सबैभन्दा बढी गाउपालिका भएको जिल्ला कुन हो ?,location,district,कुन
आ.व ०७५/७६ मा सबैभन्दा बढी आर्थिक बृदिदर हासिल गर्ने प्रदेश कुन हो ?,location,state,कुन
हाल विश्व सम्पदा सुचिमा सबैभन्दा बढी कुन देशका सम्पदा सुचिकृत छन् ?,location,country,कुन
आ.व. ०७६/७७ को बजेटको राशि कति रहेको छ ?,numerical,money,कति
नेपालसंग बीपक्षीय हवाईसेवा सम्झौता भएका राष्ट्रहरु कति छन् ?,numerical,count,कति
नेपालमा पहिलो पटक रोबटले कार्यक्रम संचालन कहिले गर्यो ?,temporal,date,कहिले
सबैभन्दा बढी सगरमाथाको आरोहण गरि किर्तिमान कायम गर्ने पर्वतारोही को हुन् ?,person,individual,को
शुन्य लागतमा श्रमिक लैजाने सम्बन्धमा नेपाल र ओमनबीच सहमति कहिले भएको हो ?,temporal,date,कहिले
नेपालको झण्डा अंकित स्याटेलाइट पहिलोपटक अन्तरिक्षमा प्रक्षेपण कहिले गरियो ?,temporal,date,कहिले
सरकारले जेष्ट नागरिकका लागि स्वास्थ बिमा कार्यक्रम कहिले देखि जारि गर्यो ?,temporal,date,कहिले
सार्क राष्ट्रका कुन व्यक्तित्वलाई गुरुदेव भनि चिनिन्छ ?,person,individual,कुन
नेपाल भ्रमण बर्ष २०२० को सफ्ट लन्चीङ कहिले गरियो ?,temporal,date,कहिले
नेपाल भ्रमण बर्ष २०२० को सफ्ट लन्चीङ कहा गरियो ?,location,city,कहाँ
"समृदिसंग जोडौ नाता, हरेक नेपालीको बैंक खाता' नारासाथ 'देशभरी खोलो बैंक खाता' अभियान कहिलेदेखि
सुरुवात भएको हो ?",temporal,date,कहिले
नाष्ट प्रविधि पुरस्कार २०७६ कसलाई प्रदान गरियो ?,person,individual,कसलाई
एसियाली विकास बैंकले सन् २०१९ सेप्टेम्बरमा प्रकाशित नेपालको वृहत आर्थिक अधावधिक अनुसार आर्थिक वर्ष ०७६/७७ मा नेपालको आर्थिक वृद्धिदर कति हुने उल्लेख गरेको छ ?,numerical,percentage,कति
विश्व स्वास्थ्य संगठनले नेपालको कुन स्वास्थ्य प्रतिष्ठानलाई आफ्नो सहकार्य केन्द्रका रुपमा मान्यता प्राप्त गरेको छ ?,organization,other,कुन
हरित प्रदेश अभियानको थालनी कहिले देखि भएको हो ?,temporal,date,कहिले
भारतको लोकसभा पहिलोपल्ट नेपाली भाषामा शपथ ग्रहण गर्ने सदस्य को हुन् ?,person,individual,को
प्रधानमन्त्री राष्ट्रिय प्रतिभा पुरस्कार २०७५ कसलाई प्रदान गरियो ?,person,individual,कसलाई
स्वास्थ्य बीमा कार्यक्रम लागु भएको ४८ औं जिल्ला कुन हो ?,location,district,कुन
चीनको बेइजिङमा निर्मित टासीङ विमानस्थल कहिले उद्घाटन गरिएको हो ?,temporal,date,कहिले
नेपालमा भिडियो टेलिप्रिजेन्समार्फत पहिलो मन्त्रिपरिषदको बैठक कहिले बसेको थियो ?,temporal,date,कहिले
हेनेली पासपोर्ट इन्डेक्स - २०१९ अनुसार नेपाल कति औं स्थानमा रहेको छ ?,numerical,rank,कति
नेपालको पहिलो भू-उपग्रह ले काठमाडौं स्थित ग्राउण्ड स्टेशनसंग सम्पर्क गर्न कहिले थालेको छ ?,temporal,date,कहिले
निर्वाचन आयोगले उप-निर्वाचन मङ्सिर १४ मा गर्ने भनेर निर्णय कहिले गरेको हो ?,temporal,date,कहिले
कैलालीको टीकापुरमा डल्फिन महोत्सब कहिले सम्पन्न भयो ?,temporal,date,कहिले
राष्ट्रिय क्रिकेट टिमका कप्तान पारस खड्काले कप्तान पदबाट राजिनामा कहिले दिएका हुन् ?,temporal,date,कहिले
सिभिल बैंकले 150 9001:2015 को प्रमाणपत्र कहिले प्राप्त गर्यो ?,temporal,date,कहिले
प्रधानमन्त्री ओली र जापानी राजदुतले नागढुङ्गा-सिस्नेखोला सुरुङमार्गको शिलान्यास संयुक्त रुपमा कहिले गरियो ?,temporal,date,कहिले
नेपाल खाद्य संस्थानलाई खाद्य व्यवस्था तथा ब्यापार कम्पनीको रुपमा परिणत कहिले गरियो ?,temporal,date,कहिले
नेपाल उड्डयन प्राधिकरणको महानिर्देशकको रुपमा राजन पोखरेलको नियुक्ति कहिले गरियो ?,temporal,date,कहिले
राष्ट्रपति भण्डारीको म्यानमार भ्रमण कहिले भयो ?,temporal,date,कहिले
Time Person of The Year - 2019' कसलाई घोषणा गरियो ?,person,individual,कसलाई
नेपालमा पुराना प्रदेश प्रमुखलाई हटाएर नयाँ प्रदेश प्रमुखको नियुक्ति कहिले गरियो ?,temporal,date,कहिले
CNN Hero - 2019 बाट सम्मानित कसलाई गरियो ?,person,individual,कसलाई
लोकसेवा आयोगको प्रदेश नं. ५ का अध्यक्ष पदमा डिलाराम भट्टराईलाई नियुक्त कहिले गरियो ?,temporal,date,कहिले
लोकसेवा आयोगको प्रदेश नं. २ का अध्यक्ष पदमा सुरेन्द्रप्रसाद यादवलाई नियुक्त कहिले गरियो ?,temporal,date,कहिले
नेपाल भ्रमण वर्ष २०२० को कोडीङ सहितको लोगो कहिले सार्वजनिक गरेको हो ?,temporal,date,कहिले
नेपालसंग अफ्रिकी मुलुक मौरिससले श्रम सम्झौता कहिले गरेको हो ?,temporal,date,कहिले
एसियाली प्रहरी सम्मेलनको आयोजना कहाँ गरिने भएको छ ?,location,city,कहाँ
आर्थिक सर्वेक्षण २०७५/०७६ अनुसार नाफामा संचालित सार्वजनिक संस्थानहरु कति रहेको छन् ?,numerical,count,कति
एक गाउँ एक हेलिप्याड' कार्यक्रम संचालन गर्ने पहिलो स्थानीय तह कुन हो ?,location,city,कुन
नेपालमा बालमैत्री स्थानीय शासन नगर भनि चिनिने ठाउँ कुन हुन् ?,location,city,कुन
दशौँ लिगलिगे दौड - २०७६ कसले जितेका हुन् ?,person,individual,कसले
बुटवल उपमहानगरपालिकालाई सडक मानवमुक्त कहिले घोषणा गरियो ?,temporal,date,कहिले
सन् २०१९ डिसेम्बर १२ मा सम्पन्न बेलायतको संसदको निर्वाचनमा बहुमत ल्याउन सफल पार्टी कुन हो ?,organization,other,कुन
सन् २०३० सम्म डिजेल र पेट्रोलबाट चल्ने सवारीसाधन प्रतिबन्ध गर्न भनि घोषणा गरेको राष्ट्र कुन हो ?,location,country,कुन
बैंक अफ द इयर - २०१९ को उपाधिबाट सम्मानित हुने बैंक कुन हो ?,organization,bank,कुन
शिक्षा दिवस २०७६ को आदर्श वाक्य के हो ?,explanation,description,के
साउदी अरबस्थित तेल प्रशोधन केन्द्रमा ड्रोन हमला कहिले भएको हो ?,temporal,date,कहिले
१२६ औं जापानी राजतन्त्रको राजगद्दी सम्हाल्ने राजा को हुन् ?,person,individual,को
इन्डीयन प्रिमियर लिग (IPL) - २०१९ को उपाधि कुन टिमले हात पार्यों ?,organization,sport-team,कुन
ओखलढुंगामा रहेको खिजी चन्देश्वरि विमानस्थलमा परिक्षण उडान कहिले गरिएको हो ?,temporal,date,कहिले
मइसिर २८ मा मनाएको १३ औं सघीय संसद दिवस नारा के हो ?,explanation,description,के
क्युवाको इतिहासमा झन्डै चार दशकपछी प्रधानमन्त्री पदमा नियुक्त हुने व्यक्ति को हुन् ?,person,individual,को
पछिल्लो तथ्यांकअनुसार संयुक्त राष्ट्रसङ्घको शान्ति मिसनमा सुरक्षाकर्मी तैनाथ गर्ने राष्ट्रहरुमा नेपाल कति औं स्थानमा पर्दछ ?,numerical,rank,कति
BIMSTEC को पाचौँ सम्मेलन कहिले हुर्दै छ ?,temporal,year,कहिले
BIMSTEC को पाचौँ सम्मेलन कहाँ हुर्दै छ ?,location,country,कहाँ
प्रदेश १ को स्थायी राजधानी विराटनगर कहिले तोकिएको हो ?,temporal,date,कहिले
चन्द्रमामा चल्ने सेल्फ Driving कारलाई के नामाकरण गरिएको छ ?,explanation,description,के
चितवनको नारायणी नदीमा व्यावसायिक सन्चालनका लागि निर्माणाधीन पानीजहाजको सफल परिक्षण कहिले गरिएको हो ?,temporal,date,कहिले
युनेस्कोले 'वास्तुकलाको राजधानी' का रुपमा घोषित सहर कुन हो ?,location,city,कुन
अमेरिकाको बेस्ट क्लिफ युनिभर्सिटीले मानार्थ विधा बारिधि उपाधि प्राप्त गर्ने नेपालि चेली को हुन् ?,person,individual,को
१३ औं साग प्रतियोगितामा भाग नलिएको सार्क राष्ट्र मध्ये कुन हो ?,location,country,कुन
नेपाललाई दक्षिण एसियाको पहिलो दिसा मुक्त देश कहिले घोषणा गरियो ?,temporal,date,कहिले
राष्ट्रिय कविता महोत्सव - २०७६ मा प्रथम हुन सफल हुने कवी को हुन् ?,person,individual,को
सबै जिल्ला स्वास्थ्य विमा लागु गर्ने पहिलो प्रदेश कुन हो ?,location,state,कुन
काजकिस्तानको नयाँ राजधानीको नाम के हो ?,location,city,के
लाङटाङ पदमार्गको नाम परिवर्तन गरि के बनाइएको छ ?,explanation,description,के
ट्रान्सपरेन्सी इन्टरनेसनल (टिआई) ले सन् २०१९ मा सार्वजनिक गरेको भ्रष्टाचार अवधारणा सूचकांक अनुसार सबैभन्दा कम भ्रष्टाचार हुने राष्ट्र कुन हो ?,location,country,कुन
प्रदेश २ मा पहिलो बालमैत्री घोषित नगरपालीका कुन हो ?,location,city,कुन
दक्षिण-पूर्वी एसिया क्षेत्रमा हेपाटाइटिस 'बि' माथि नियन्त्रण प्राप्त गर्ने पहिलो चार मुलुक कुन-कुन हुन् ?,location,country,कुन
यस बर्ष सन् २०१९ को 'एचआर म्यानेजर अफ दि इयर' को उपाधि कसले प्राप्त गरे ?,person,individual,कसले
यौनहिंसाविरुद्ध हलिउडका महिलाले सुरु गरेको नयाँ अभियानलाई के भनी चिनिन्छ ?,explanation,description,के
विश्वको सबैभन्दा बढी उचाईमा हक्की खेल कहाँ खेलियो ?,location,city,कहाँ
हालै गरिएको एक उत्खननमा भीमकाय डाइनोसरको हड्डी कुन देशमा फेलापरेको छ ?,location,country,कुन
सन् २०१९ मे मा बङ्गालको खाडीमा उत्पन्न समुद्री आँधीलाई के नामले चिनिन्छ ?,explanation,description,के
हाल संयुक्त राष्ट्रसंघका लागी नेपालबाट स्थायी प्रतिनिधिमा नियुक्त कुटनीतिज्ञ हो हुन् ?,person,individual,को
नेपालमा पहिलो 'नेटवर्क आर्क ब्रिज' को निर्माण कहाँ गरिएको छ ?,location,address,कहाँ
"अन्तराष्ट्रिय क्रिकेटमा सर्वाधिक कम इनिङमा २०,००० रन बनाइ रेकर्ड कायम गर्ने क्रिकेटर को हुन् ?",person,individual,को
श्रीलंकाले अनुहार छोपिने (वुर्का) कपडा लगाउन कहिले देखि प्रतिबन्ध गर्यो ?,temporal,date,कहिले
"वर्ष पुरानो फ्रान्सको ऐतिहासिक 'नोटूडाम क्याथेड्रल' चर्चमा कहिले भिषण आगलागी भएको
हो ?",temporal,date,कहिले
नेपाल टेलिकमले कहिले देखि भारत र चीनमा रोमीङ सेवा संचालन गर्यो ?,temporal,date,कहिले
नेपाल भ्रमण वर्ष २०२० को लोगो डिजाइनर को हुन् ?,person,individual,को
68th Miss Universe 2019 को उपाधि कसले जितिन ?,person,individual,कसले
Miss world 2019 को उपाधि कसले जितिन ?,person,individual,कसले
विश्वकै सबैभन्दा कान्छी प्रधानमन्त्री को हुन् ?,person,individual,को
नेपाल भ्रमण वर्ष २०२० कति पर्यटक भित्र्याउने उदेश्य लिइएको छ ?,numerical,count,कति
हालै राष्ट्रिय खेलकुद परिषदको सदस्यसचिवमा कसलाई नियुक्त गरियो ?,person,individual,कसलाई
FIFA THE BEST WOMEN PLAYER AWARD - 2019 कसलाई प्रदान गरियो ?,person,individual,कसलाई
नेपालमा सामाजिक सेवा दिवस कहिले मनाईन्छ ?,temporal,date,कहिले
छोरी सुरक्षा कार्यक्रम' कुन प्रदेशमा प्रारम्भ भएको छ ?,location,state,कुन
वि.सं २०७६ मा मनाइएको निजमति सेवा दिवस कति औं हो ?,numerical,rank,कति
सबैभन्दा पछी खुला दिसामुक्त जिल्ला घोषित जिल्ला कुन हो ?,location,district,कुन
मानार्थ नेपालि नागरिकता प्राप्त गर्ने चौथों व्यक्ति को हुन् ?,person,individual,को
वि.सं. २०७६ सालमा मनाइएको बाल दिवस कति औं हो ?,numerical,rank,कति
दक्षिण एसियाको दोस्रो खुला दिसामुक्त देशको रुपमा भारतलाई कहिले घोषणा गरियो ?,temporal,date,कहिले
भारतबाट ल्याइने पेट्रोलियम पाइपलाइनको उद्घाटन कहिले गरियो ?,temporal,date,कहिले
सताब्दी पुरुष सत्यमोहन जोशीको नाममा कहिले सिक्का जारि गरियो ?,temporal,date,कहिले
म्यागासेसे पुरस्कार - २०१९ कसले प्राप्त गरेका छन् ?,person,individual,कसले
निर्वाचन आयोगले तेसो पञ्चवर्षीय रणनीतिक योजनाको मस्यौदा कहिले सार्वजनिक गरेको हो ?,temporal,date,कहिले
युग पुरुष सत्यमोहन जोशी अंकित रु २५०० को सिक्का कहिले निष्कासन गरियो ?,temporal,date,कहिले
१३ औं सागमा गौरिका सिंहले जम्मा कति पदक हात पारिन् ?,numerical,count,कति
१३ औं सागमा जम्मा कति खेलाडीले भाग लिएका थिए ?,numerical,count,कति
Gender Gap Index - २०१९ मा नेपालको स्थान कति रहेको छ ?,numerical,rank,कति
FORBS ले प्रकाशित गरेको सन् २०२० मा विश्वको घुम्नैपर्ने देशको सुचिमा नेपाल कति औं स्थानमा रहेको छ?,numerical,rank,कति
सभामुख कृष्णबहादुर महराले सभामुख पदबाट राजिनामा कहिले दिए ?,temporal,date,कहिले
मानव विकास सूचांक - २०१८ मा नेपाल कति औं स्थानमा रहेको छ ?,numerical,rank,कति
नागढुंगा-सिस्नेखोला सुरुङमार्गको शिलान्यास नेपालमा प्रधानमन्त्री ओली र जापानी राजदुतले संयुक्तरुपमा कहिले गरेका हुन् ?,temporal,date,कहिले
